timestamp,total_memory_mb,available_memory_mb,used_memory_mb,percent_memory
2024-06-18 11:16:13,5853.63,1293.72,4240.16,77.90
2024-06-18 11:16:18,5853.63,1288.58,4245.35,78.00
2024-06-18 11:16:23,5853.63,1287.45,4246.48,78.00
2024-06-18 11:16:28,5853.63,1307.00,4226.90,77.70
2024-06-18 11:16:33,5853.63,1307.05,4226.89,77.70
2024-06-18 11:16:38,5853.63,1306.81,4227.13,77.70
2024-06-18 11:16:43,5853.63,1306.84,4227.11,77.70
2024-06-18 11:16:48,5853.63,1319.77,4214.17,77.50
2024-06-18 11:16:53,5853.63,1319.12,4214.82,77.50
2024-06-18 11:16:58,5853.63,1319.13,4214.82,77.50
2024-06-18 11:17:03,5853.63,1350.74,4183.16,76.90
2024-06-18 11:17:08,5853.63,1350.07,4183.86,76.90
2024-06-18 11:17:13,5853.63,1350.09,4183.85,76.90
2024-06-18 11:17:18,5853.63,1349.86,4184.09,76.90
2024-06-18 11:17:23,5853.63,1346.94,4187.00,77.00
2024-06-18 11:17:28,5853.63,1346.96,4186.99,77.00
2024-06-18 11:17:33,5853.63,1346.74,4187.21,77.00
2024-06-18 11:17:38,5853.63,1345.80,4188.14,77.00
2024-06-18 11:17:43,5853.63,1343.66,4190.29,77.00
2024-06-18 11:17:48,5853.63,1343.39,4190.54,77.10
2024-06-18 11:17:53,5853.63,1343.40,4190.54,77.10
2024-06-18 11:17:58,5853.63,1343.40,4190.54,77.10
2024-06-18 11:18:03,5853.63,1343.40,4190.54,77.10
2024-06-18 11:18:08,5853.63,1343.40,4190.54,77.10
2024-06-18 11:18:13,5853.63,1341.85,4192.10,77.10
2024-06-18 11:18:18,5853.63,1341.85,4192.09,77.10
2024-06-18 11:18:23,5853.63,1341.86,4192.09,77.10
2024-06-18 11:18:28,5853.63,1341.86,4192.09,77.10
2024-06-18 11:18:33,5853.63,1341.86,4192.08,77.10
2024-06-18 11:18:38,5853.63,1341.87,4192.07,77.10
2024-06-18 11:18:43,5853.63,1341.56,4192.37,77.10
2024-06-18 11:18:48,5853.63,1341.57,4192.37,77.10
2024-06-18 11:18:53,5853.63,1341.57,4192.37,77.10
2024-06-18 11:18:58,5853.63,1341.58,4192.36,77.10
2024-06-18 11:19:03,5853.63,1341.58,4192.36,77.10
2024-06-18 11:19:08,5853.63,1341.58,4192.36,77.10
2024-06-18 11:19:13,5853.63,1341.58,4192.36,77.10
2024-06-18 11:19:18,5853.63,1341.44,4192.50,77.10
2024-06-18 11:19:23,5853.63,1341.45,4192.50,77.10
2024-06-18 11:19:28,5853.63,1341.45,4192.50,77.10
2024-06-18 11:19:33,5853.63,1341.46,4192.49,77.10
2024-06-18 11:19:38,5853.63,1341.46,4192.48,77.10
2024-06-18 11:19:43,5853.63,1352.76,4181.16,76.90
2024-06-18 11:19:48,5853.63,1352.50,4181.44,76.90
2024-06-18 11:19:53,5853.63,1352.29,4181.65,76.90
2024-06-18 11:19:58,5853.63,1352.32,4181.62,76.90
2024-06-18 11:20:03,5853.63,1352.32,4181.62,76.90
2024-06-18 11:20:08,5853.63,1352.32,4181.62,76.90
2024-06-18 11:20:13,5853.63,1352.33,4181.62,76.90
2024-06-18 11:20:18,5853.63,1352.33,4181.62,76.90
2024-06-18 11:20:23,5853.63,1352.55,4181.40,76.90
2024-06-18 11:20:28,5853.63,1352.30,4181.64,76.90
2024-06-18 11:20:33,5853.63,1352.31,4181.64,76.90
2024-06-18 11:20:38,5853.63,1354.31,4179.64,76.90
2024-06-18 11:20:43,5853.63,1354.31,4179.61,76.90
2024-06-18 11:20:48,5853.63,1354.42,4179.50,76.90
2024-06-18 11:20:53,5853.63,1354.56,4179.37,76.90
2024-06-18 11:20:58,5853.63,1354.58,4179.36,76.90
2024-06-18 11:21:03,5853.63,1354.60,4179.35,76.90
2024-06-18 11:21:08,5853.63,1354.84,4179.10,76.90
2024-06-18 11:21:13,5853.63,1354.84,4179.10,76.90
2024-06-18 11:21:18,5853.63,1354.85,4179.09,76.90
2024-06-18 11:21:23,5853.63,1354.85,4179.09,76.90
2024-06-18 11:21:28,5853.63,1354.82,4179.08,76.90
2024-06-18 11:21:33,5853.63,1354.98,4178.97,76.90
2024-06-18 11:21:38,5853.63,1354.99,4178.95,76.90
2024-06-18 11:21:43,5853.63,1355.01,4178.94,76.90
2024-06-18 11:21:48,5853.63,1355.15,4178.79,76.80
2024-06-18 11:21:53,5853.63,1355.10,4178.85,76.90
2024-06-18 11:21:58,5853.63,1355.25,4178.69,76.80
2024-06-18 11:22:03,5853.63,1355.23,4178.71,76.80
2024-06-18 11:22:08,5853.63,1355.23,4178.71,76.80
2024-06-18 11:22:13,5853.63,1354.99,4178.96,76.90
2024-06-18 11:22:18,5853.63,1354.78,4179.17,76.90
2024-06-18 11:22:23,5853.63,1354.78,4179.16,76.90
2024-06-18 11:22:28,5853.63,1354.80,4179.14,76.90
2024-06-18 11:22:33,5853.63,1354.62,4179.27,76.90
2024-06-18 11:22:38,5853.63,1354.68,4179.26,76.90
2024-06-18 11:22:43,5853.63,1354.71,4179.24,76.90
2024-06-18 11:22:48,5853.63,1354.71,4179.24,76.90
2024-06-18 11:22:53,5853.63,1354.71,4179.23,76.90
2024-06-18 11:22:58,5853.63,1384.04,4149.89,76.40
2024-06-18 11:23:03,5853.63,1383.60,4150.35,76.40
2024-06-18 11:23:08,5853.63,1383.61,4150.34,76.40
2024-06-18 11:23:13,5853.63,1383.62,4150.34,76.40
2024-06-18 11:23:18,5853.63,1383.40,4150.55,76.40
2024-06-18 11:23:23,5853.63,1383.41,4150.55,76.40
2024-06-18 11:23:28,5853.63,1383.41,4150.55,76.40
2024-06-18 11:23:33,5853.63,1383.29,4150.66,76.40
2024-06-18 11:23:38,5853.63,1383.30,4150.65,76.40
2024-06-18 11:23:43,5853.63,1383.14,4150.81,76.40
2024-06-18 11:23:48,5853.63,1381.67,4152.28,76.40
2024-06-18 11:23:53,5853.63,1381.53,4152.55,76.40
2024-06-18 11:23:58,5853.63,1381.33,4152.37,76.40
2024-06-18 11:24:03,5853.63,1381.14,4152.54,76.40
2024-06-18 11:24:08,5853.63,1381.18,4152.53,76.40
2024-06-18 11:24:13,5853.63,1381.18,4152.52,76.40
2024-06-18 11:24:18,5853.63,1381.18,4152.52,76.40
2024-06-18 11:24:23,5853.63,1378.73,4154.96,76.40
2024-06-18 11:24:28,5853.63,1371.20,4162.50,76.60
2024-06-18 11:24:33,5853.63,1371.22,4162.48,76.60
2024-06-18 11:24:38,5853.63,1369.12,4164.59,76.60
2024-06-18 11:24:43,5853.63,1369.38,4164.32,76.60
2024-06-18 11:24:48,5853.63,1372.34,4161.36,76.60
2024-06-18 11:24:53,5853.63,1372.35,4161.36,76.60
2024-06-18 11:24:58,5853.63,1367.84,4165.92,76.60
2024-06-18 11:25:03,5853.63,1338.20,4195.55,77.10
2024-06-18 11:25:08,5853.63,1338.21,4195.55,77.10
2024-06-18 11:25:13,5853.63,1338.22,4195.54,77.10
2024-06-18 11:25:18,5853.63,1337.97,4195.79,77.10
2024-06-18 11:25:23,5853.63,1337.98,4195.78,77.10
2024-06-18 11:25:28,5853.63,1337.98,4195.78,77.10
2024-06-18 11:25:33,5853.63,1333.61,4200.15,77.20
2024-06-18 11:25:38,5853.63,1333.39,4200.37,77.20
2024-06-18 11:25:43,5853.63,1328.41,4205.48,77.30
2024-06-18 11:25:48,5853.63,1326.57,4207.32,77.30
2024-06-18 11:25:53,5853.63,1317.21,4216.68,77.50
2024-06-18 11:25:58,5853.63,1318.06,4215.83,77.50
2024-06-18 11:26:03,5853.63,1305.74,4228.15,77.70
2024-06-18 11:26:08,5853.63,1307.31,4226.56,77.70
2024-06-18 11:26:13,5853.63,1313.05,4220.81,77.60
2024-06-18 11:26:18,5853.63,1312.57,4221.30,77.60
2024-06-18 11:26:23,5853.63,1308.38,4225.50,77.60
2024-06-18 11:26:28,5853.63,1304.79,4229.08,77.70
2024-06-18 11:26:33,5853.63,1299.80,4234.07,77.80
2024-06-18 11:26:38,5853.63,1296.42,4237.45,77.90
2024-06-18 11:26:43,5853.63,1304.09,4229.78,77.70
2024-06-18 11:26:48,5853.63,1300.54,4233.33,77.80
2024-06-18 11:26:53,5853.63,1298.99,4234.88,77.80
2024-06-18 11:26:58,5853.63,1320.58,4213.29,77.40
2024-06-18 11:27:03,5853.63,1321.61,4212.27,77.40
2024-06-18 11:27:08,5853.63,1317.73,4216.14,77.50
2024-06-18 11:27:13,5853.63,1267.15,4266.55,78.40
2024-06-18 11:27:18,5853.63,1274.44,4259.27,78.20
2024-06-18 11:27:23,5853.63,1338.82,4194.89,77.10
2024-06-18 11:27:28,5853.63,1311.18,4222.53,77.60
2024-06-18 11:27:33,5853.63,1253.80,4279.92,78.60
2024-06-18 11:27:38,5853.63,1250.01,4283.71,78.60
2024-06-18 11:27:43,5853.63,1250.19,4283.52,78.60
2024-06-18 11:27:48,5853.63,1248.30,4285.42,78.70
2024-06-18 11:27:53,5853.63,1248.31,4285.40,78.70
2024-06-18 11:27:58,5853.63,1243.03,4290.68,78.80
2024-06-18 11:28:03,5853.63,1243.29,4290.43,78.80
2024-06-18 11:28:08,5853.63,1243.29,4290.43,78.80
2024-06-18 11:28:13,5853.63,1244.05,4289.66,78.70
2024-06-18 11:28:18,5853.63,1329.20,4204.51,77.30
2024-06-18 11:28:23,5853.63,1328.41,4205.30,77.30
2024-06-18 11:28:28,5853.63,1325.42,4208.25,77.40
2024-06-18 11:28:33,5853.63,1325.00,4208.71,77.40
2024-06-18 11:28:38,5853.63,1324.89,4208.83,77.40
2024-06-18 11:28:43,5853.63,1325.04,4208.67,77.40
2024-06-18 11:28:48,5853.63,1325.04,4208.67,77.40
2024-06-18 11:28:53,5853.63,1325.05,4208.66,77.40
2024-06-18 11:28:58,5853.63,1325.05,4208.66,77.40
2024-06-18 11:29:03,5853.63,1324.30,4209.41,77.40
2024-06-18 11:29:08,5853.63,1322.86,4210.86,77.40
2024-06-18 11:29:13,5853.63,1322.98,4210.77,77.40
2024-06-18 11:29:18,5853.63,1322.57,4211.18,77.40
2024-06-18 11:29:23,5853.63,1322.58,4211.17,77.40
2024-06-18 11:29:28,5853.63,1323.32,4210.43,77.40
2024-06-18 11:29:33,5853.63,1302.90,4230.84,77.70
2024-06-18 11:29:38,5853.63,1304.21,4229.40,77.70
2024-06-18 11:29:43,5853.63,1311.91,4221.71,77.60
2024-06-18 11:29:48,5853.63,1311.70,4221.91,77.60
2024-06-18 11:29:53,5853.63,1311.49,4222.13,77.60
2024-06-18 11:29:58,5853.63,1310.14,4223.47,77.60
2024-06-18 11:30:03,5853.63,1317.04,4216.22,77.50
2024-06-18 11:30:08,5853.63,1314.29,4219.87,77.50
2024-06-18 11:30:13,5853.63,1317.41,4216.80,77.50
2024-06-18 11:30:18,5853.63,1316.63,4217.58,77.50
2024-06-18 11:30:23,5853.63,1320.38,4213.83,77.40
2024-06-18 11:30:28,5853.63,1320.38,4213.82,77.40
2024-06-18 11:30:33,5853.63,1322.28,4211.93,77.40
2024-06-18 11:30:38,5853.63,1328.48,4205.72,77.30
2024-06-18 11:30:43,5853.63,1328.42,4205.79,77.30
